0.471: [GC [PSYoungGen: 131072K->768K(152896K)] 131072K->768K(502464K), 0.0020516 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.187: [GC [PSYoungGen: 131840K->816K(152896K)] 131840K->816K(502464K), 0.0009205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.674: [GC [PSYoungGen: 131888K->768K(152896K)] 131888K->768K(502464K), 0.0007761 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.337: [GC [PSYoungGen: 131840K->784K(152896K)] 131840K->784K(502464K), 0.0007042 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.852: [GC [PSYoungGen: 131856K->736K(152896K)] 131856K->736K(502464K), 0.0008055 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.663: [GC [PSYoungGen: 131808K->736K(173888K)] 131808K->736K(523456K), 0.0011859 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.439: [GC [PSYoungGen: 173792K->256K(173312K)] 173792K->880K(522880K), 0.0007927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.332: [GC [PSYoungGen: 173312K->256K(173632K)] 173936K->904K(523200K), 0.0004109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.536: [GC [PSYoungGen: 172928K->256K(173696K)] 173576K->904K(523264K), 0.0006628 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.431: [GC [PSYoungGen: 172928K->288K(173568K)] 173576K->992K(523136K), 0.0006550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.103: [GC [PSYoungGen: 172832K->256K(173632K)] 173536K->1064K(523200K), 0.0005032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.786: [GC [PSYoungGen: 172800K->256K(173632K)] 173608K->1064K(523200K), 0.0004068 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.435: [GC [PSYoungGen: 172800K->256K(173632K)] 173608K->1064K(523200K), 0.0004500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.094: [GC [PSYoungGen: 172800K->256K(173696K)] 173608K->1064K(523264K), 0.0005057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.757: [GC [PSYoungGen: 172864K->256K(173632K)] 173672K->1064K(523200K), 0.0005816 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.405: [GC [PSYoungGen: 172864K->256K(173696K)] 173672K->1064K(523264K), 0.0004552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.149: [GC [PSYoungGen: 172928K->256K(173696K)] 173736K->1064K(523264K), 0.0005270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.838: [GC [PSYoungGen: 172928K->256K(173760K)] 173736K->1144K(523328K), 0.0005365 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13.546: [GC [PSYoungGen: 173056K->256K(173760K)] 173944K->1144K(523328K), 0.0005134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.322: [GC [PSYoungGen: 173056K->256K(173824K)] 173944K->1144K(523392K), 0.0005230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.001: [GC [PSYoungGen: 173184K->256K(173824K)] 174072K->1144K(523392K), 0.0005126 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.700: [GC [PSYoungGen: 173184K->256K(173888K)] 174072K->1144K(523456K), 0.0004817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.442: [GC [PSYoungGen: 173312K->256K(173888K)] 174200K->1144K(523456K), 0.0006144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.150: [GC [PSYoungGen: 173312K->256K(173952K)] 174200K->1144K(523520K), 0.0005827 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
