0.603: [GC [PSYoungGen: 524288K->5410K(611648K)] 524288K->5410K(2009792K), 0.0045370 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2.127: [GC [PSYoungGen: 529698K->4177K(611648K)] 529698K->4177K(2009792K), 0.0025329 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.820: [GC [PSYoungGen: 528465K->6306K(611648K)] 528465K->6306K(2009792K), 0.0020276 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.505: [GC [PSYoungGen: 530594K->6290K(611648K)] 530594K->6290K(2009792K), 0.0022714 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.103: [GC [PSYoungGen: 530578K->3793K(611648K)] 530578K->3793K(2009792K), 0.0015454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.315: [GC [PSYoungGen: 528081K->3985K(691584K)] 528081K->3985K(2089728K), 0.0022565 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
4.603: [GC [PSYoungGen: 688081K->2625K(686784K)] 688081K->3690K(2084928K), 0.0019863 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
4.877: [GC [PSYoungGen: 686721K->2625K(691264K)] 687786K->3698K(2089408K), 0.0008991 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
5.156: [GC [PSYoungGen: 686273K->2689K(691328K)] 687346K->3762K(2089472K), 0.0008906 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.440: [GC [PSYoungGen: 686337K->2705K(691456K)] 687410K->3778K(2089600K), 0.0009549 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.728: [GC [PSYoungGen: 686545K->2641K(691392K)] 687618K->3738K(2089536K), 0.0010125 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
6.018: [GC [PSYoungGen: 686481K->2593K(691648K)] 687578K->3746K(2089792K), 0.0008831 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.308: [GC [PSYoungGen: 686817K->2609K(691584K)] 687970K->3762K(2089728K), 0.0008975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.595: [GC [PSYoungGen: 686833K->2641K(691968K)] 687986K->3882K(2090112K), 0.0008930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.862: [GC [PSYoungGen: 687441K->2657K(691840K)] 688682K->3898K(2089984K), 0.0011813 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
7.151: [GC [PSYoungGen: 687457K->2689K(692352K)] 688698K->3930K(2090496K), 0.0008082 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
7.452: [GC [PSYoungGen: 688193K->2657K(692160K)] 689434K->3898K(2090304K), 0.0010155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.752: [GC [PSYoungGen: 688161K->2561K(692736K)] 689402K->3890K(2090880K), 0.0009589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.046: [GC [PSYoungGen: 688816K->2689K(692544K)] 690145K->4018K(2090688K), 0.0011711 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
8.318: [GC [PSYoungGen: 688961K->2625K(693120K)] 690290K->4010K(2091264K), 0.0009370 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
8.618: [GC [PSYoungGen: 689665K->2673K(692928K)] 691050K->4058K(2091072K), 0.0010833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.911: [GC [PSYoungGen: 689713K->2689K(693504K)] 691098K->4074K(2091648K), 0.0011195 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.214: [GC [PSYoungGen: 690476K->2673K(693312K)] 691861K->4058K(2091456K), 0.0011603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.514: [GC [PSYoungGen: 690481K->2593K(693824K)] 691866K->4042K(2091968K), 0.0010946 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
9.830: [GC [PSYoungGen: 691105K->2609K(693696K)] 692554K->4058K(2091840K), 0.0011125 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.125: [GC [PSYoungGen: 691112K->2641K(694144K)] 692561K->4090K(2092288K), 0.0009337 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
10.455: [GC [PSYoungGen: 691793K->2577K(694016K)] 693242K->4082K(2092160K), 0.0010483 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.871: [GC [PSYoungGen: 691729K->2609K(694400K)] 693234K->4170K(2092544K), 0.0008910 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.223: [GC [PSYoungGen: 692273K->2609K(694272K)] 693834K->4226K(2092416K), 0.0009002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
