0.244: [GC [PSYoungGen: 131072K->1472K(152896K)] 131072K->1472K(502464K), 0.0021246 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.158: [GC [PSYoungGen: 132544K->1568K(152896K)] 132544K->1568K(502464K), 0.0011627 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2.066: [GC [PSYoungGen: 132640K->1536K(152896K)] 132640K->1536K(502464K), 0.0008301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.169: [GC [PSYoungGen: 132608K->1536K(152896K)] 132608K->1536K(502464K), 0.0009361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.366: [GC [PSYoungGen: 132608K->1568K(152896K)] 132608K->1568K(502464K), 0.0007330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.604: [GC [PSYoungGen: 132640K->1520K(173120K)] 132640K->1520K(522688K), 0.0011758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.242: [GC [PSYoungGen: 173040K->192K(171712K)] 173040K->1481K(521280K), 0.0012914 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
9.268: [GC [PSYoungGen: 171712K->256K(172544K)] 173001K->1545K(522112K), 0.0005267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.842: [GC [PSYoungGen: 170880K->256K(170880K)] 172169K->1593K(520448K), 0.0005370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.416: [GC [PSYoungGen: 170880K->32K(172416K)] 172217K->1457K(521984K), 0.0004576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.358: [GC [PSYoungGen: 170272K->256K(172480K)] 171697K->1681K(522048K), 0.0004943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.283: [GC [PSYoungGen: 170496K->160K(172480K)] 171921K->1673K(522048K), 0.0005786 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
21.175: [GC [PSYoungGen: 170400K->96K(172480K)] 171913K->1609K(522048K), 0.0004543 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
23.114: [GC [PSYoungGen: 170336K->32K(172480K)] 171849K->1545K(522048K), 0.0004315 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.309: [GC [PSYoungGen: 170272K->256K(172480K)] 171785K->1769K(522048K), 0.0006765 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
26.506: [GC [PSYoungGen: 170496K->128K(172608K)] 172009K->1729K(522176K), 0.0006541 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.705: [GC [PSYoungGen: 170624K->96K(172608K)] 172225K->1697K(522176K), 0.0004810 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.917: [GC [PSYoungGen: 170592K->32K(172736K)] 172193K->1633K(522304K), 0.0004834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.436: [GC [PSYoungGen: 170720K->96K(172672K)] 172321K->1697K(522240K), 0.0005032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.861: [GC [PSYoungGen: 170784K->128K(172928K)] 172385K->1729K(522496K), 0.0004366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.027: [GC [PSYoungGen: 171136K->96K(172800K)] 172737K->1697K(522368K), 0.0004819 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.652: [GC [PSYoungGen: 171104K->256K(173120K)] 172705K->1857K(522688K), 0.0005013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.474: [GC [PSYoungGen: 171648K->96K(172992K)] 173249K->1761K(522560K), 0.0004992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.277: [GC [PSYoungGen: 171488K->64K(173248K)] 173153K->1729K(522816K), 0.0004262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.109: [GC [PSYoungGen: 171776K->96K(173184K)] 173441K->1761K(522752K), 0.0004253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.921: [GC [PSYoungGen: 171808K->32K(173376K)] 173473K->1697K(522944K), 0.0004556 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
43.888: [GC [PSYoungGen: 172000K->256K(173312K)] 173665K->1921K(522880K), 0.0005228 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
45.356: [GC [PSYoungGen: 172224K->96K(173568K)] 173889K->1825K(523136K), 0.0008320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.795: [GC [PSYoungGen: 172448K->96K(173504K)] 174177K->1825K(523072K), 0.0004677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.376: [GC [PSYoungGen: 172448K->64K(173632K)] 174177K->1793K(523200K), 0.0005832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.881: [GC [PSYoungGen: 172544K->96K(173568K)] 174273K->1825K(523136K), 0.0004344 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
51.321: [GC [PSYoungGen: 172576K->256K(173760K)] 174305K->1985K(523328K), 0.0005343 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
52.159: [GC [PSYoungGen: 172992K->64K(173696K)] 174721K->1857K(523264K), 0.0005107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.064: [GC [PSYoungGen: 172800K->32K(173888K)] 174593K->1825K(523456K), 0.0005561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.022: [GC [PSYoungGen: 173024K->96K(173824K)] 174817K->1889K(523392K), 0.0005417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.885: [GC [PSYoungGen: 173088K->96K(173952K)] 174881K->1889K(523520K), 0.0004134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.779: [GC [PSYoungGen: 173216K->32K(173888K)] 175009K->1825K(523456K), 0.0004815 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
56.903: [GC [PSYoungGen: 173152K->64K(174016K)] 174945K->1857K(523584K), 0.0005153 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
57.789: [GC [PSYoungGen: 173376K->96K(174016K)] 175169K->1889K(523584K), 0.0004090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.949: [GC [PSYoungGen: 173408K->64K(174080K)] 175201K->1857K(523648K), 0.0005356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.814: [GC [PSYoungGen: 173504K->32K(174080K)] 175297K->1825K(523648K), 0.0005706 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.919: [GC [PSYoungGen: 173472K->288K(174144K)] 175265K->2081K(523712K), 0.0005188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.085: [GC [PSYoungGen: 173856K->64K(174144K)] 175649K->1921K(523712K), 0.0005088 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
63.266: [GC [PSYoungGen: 173632K->64K(174208K)] 175489K->1921K(523776K), 0.0004219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.441: [GC [PSYoungGen: 173696K->128K(174144K)] 175553K->1985K(523712K), 0.0004870 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
65.681: [GC [PSYoungGen: 173760K->64K(174208K)] 175617K->1921K(523776K), 0.0003972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.934: [GC [PSYoungGen: 173760K->32K(174208K)] 175617K->1889K(523776K), 0.0006772 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.182: [GC [PSYoungGen: 173728K->64K(174272K)] 175585K->1921K(523840K), 0.0004690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
69.729: [GC [PSYoungGen: 173888K->256K(174272K)] 175745K->2113K(523840K), 0.0005507 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
70.738: [GC [PSYoungGen: 174080K->32K(174272K)] 175937K->1953K(523840K), 0.0004867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.708: [GC [PSYoungGen: 173856K->64K(174272K)] 175777K->1985K(523840K), 0.0005013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
72.786: [GC [PSYoungGen: 173888K->0K(174336K)] 175809K->1921K(523904K), 0.0004487 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.728: [GC [PSYoungGen: 173888K->64K(174272K)] 175809K->1985K(523840K), 0.0004641 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
74.706: [GC [PSYoungGen: 173952K->96K(174336K)] 175873K->2017K(523904K), 0.0004781 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
75.666: [GC [PSYoungGen: 174048K->64K(174336K)] 175969K->1985K(523904K), 0.0004633 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.656: [GC [PSYoungGen: 174016K->32K(174400K)] 175937K->1953K(523968K), 0.0004561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.632: [GC [PSYoungGen: 174112K->256K(174336K)] 176033K->2177K(523904K), 0.0004855 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
78.244: [GC [PSYoungGen: 174336K->96K(174336K)] 176257K->2081K(523904K), 0.0004611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.815: [GC [PSYoungGen: 174047K->160K(174336K)] 176033K->2145K(523904K), 0.0005937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.374: [GC [PSYoungGen: 174112K->128K(174400K)] 176097K->2113K(523968K), 0.0006140 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
79.916: [GC [PSYoungGen: 174144K->32K(174336K)] 176129K->2017K(523904K), 0.0005190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.692: [GC [PSYoungGen: 174048K->32K(174400K)] 176033K->2017K(523968K), 0.0006165 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.463: [GC [PSYoungGen: 174112K->64K(174400K)] 176097K->2049K(523968K), 0.0004483 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.772: [GC [PSYoungGen: 174144K->128K(174400K)] 176129K->2113K(523968K), 0.0005443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.364: [GC [PSYoungGen: 174208K->64K(174400K)] 176193K->2049K(523968K), 0.0005501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.874: [GC [PSYoungGen: 174144K->64K(174464K)] 176129K->2049K(524032K), 0.0004210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.389: [GC [PSYoungGen: 174208K->32K(174400K)] 176193K->2017K(523968K), 0.0005680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.948: [GC [PSYoungGen: 174175K->96K(174464K)] 176161K->2081K(524032K), 0.0005468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.446: [GC [PSYoungGen: 174304K->96K(174464K)] 176289K->2081K(524032K), 0.0004468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.937: [GC [PSYoungGen: 174304K->128K(174464K)] 176289K->2113K(524032K), 0.0004697 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
86.511: [GC [PSYoungGen: 174336K->96K(174464K)] 176321K->2081K(524032K), 0.0005947 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.350: [GC [PSYoungGen: 174304K->96K(174464K)] 176289K->2081K(524032K), 0.0005142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.207: [GC [PSYoungGen: 174304K->256K(174464K)] 176289K->2241K(524032K), 0.0005107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.927: [GC [PSYoungGen: 174464K->32K(174464K)] 176449K->2073K(524032K), 0.0005464 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.640: [GC [PSYoungGen: 174240K->64K(174464K)] 176281K->2105K(524032K), 0.0006095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.361: [GC [PSYoungGen: 174272K->32K(174464K)] 176313K->2073K(524032K), 0.0004571 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
91.179: [GC [PSYoungGen: 174240K->32K(174464K)] 176281K->2073K(524032K), 0.0004669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.873: [GC [PSYoungGen: 174240K->0K(174464K)] 176281K->2041K(524032K), 0.0005139 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.554: [GC [PSYoungGen: 174208K->96K(174464K)] 176249K->2137K(524032K), 0.0004448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.243: [GC [PSYoungGen: 174304K->32K(174464K)] 176345K->2073K(524032K), 0.0005003 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.939: [GC [PSYoungGen: 174240K->96K(174464K)] 176281K->2137K(524032K), 0.0004800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
