0.229: [GC [PSYoungGen: 131072K->1424K(152896K)] 131072K->1424K(502464K), 0.0020765 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.121: [GC [PSYoungGen: 132496K->1568K(152896K)] 132496K->1568K(502464K), 0.0010693 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.985: [GC [PSYoungGen: 132640K->1536K(152896K)] 132640K->1536K(502464K), 0.0009827 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.150: [GC [PSYoungGen: 132608K->1600K(152896K)] 132608K->1600K(502464K), 0.0007530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.377: [GC [PSYoungGen: 132672K->1552K(152896K)] 132672K->1552K(502464K), 0.0009304 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
5.665: [GC [PSYoungGen: 132624K->1568K(173056K)] 132624K->1568K(522624K), 0.0011918 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
7.292: [GC [PSYoungGen: 172960K->256K(171648K)] 172960K->1541K(521216K), 0.0012261 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
9.335: [GC [PSYoungGen: 171648K->256K(172416K)] 172933K->1541K(521984K), 0.0006470 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
11.814: [GC [PSYoungGen: 170752K->256K(170752K)] 172037K->1597K(520320K), 0.0006304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.339: [GC [PSYoungGen: 170752K->64K(172416K)] 172093K->1493K(521984K), 0.0004248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.841: [GC [PSYoungGen: 170304K->32K(170304K)] 171733K->1461K(519872K), 0.0003857 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.188: [GC [PSYoungGen: 170272K->256K(172416K)] 171701K->1685K(521984K), 0.0004746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.190: [GC [PSYoungGen: 170368K->32K(172416K)] 171797K->1549K(521984K), 0.0004946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.153: [GC [PSYoungGen: 170144K->96K(172480K)] 171661K->1613K(522048K), 0.0004768 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.280: [GC [PSYoungGen: 170272K->128K(172416K)] 171789K->1645K(521984K), 0.0004642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.796: [GC [PSYoungGen: 170304K->256K(172608K)] 171821K->1773K(522176K), 0.0006583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.051: [GC [PSYoungGen: 170688K->96K(172544K)] 172205K->1701K(522112K), 0.0006267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.253: [GC [PSYoungGen: 170528K->96K(172736K)] 172133K->1701K(522304K), 0.0004437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.863: [GC [PSYoungGen: 170784K->128K(172672K)] 172389K->1733K(522240K), 0.0004048 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
32.272: [GC [PSYoungGen: 170816K->128K(172928K)] 172421K->1733K(522496K), 0.0005034 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.516: [GC [PSYoungGen: 171136K->64K(172800K)] 172741K->1669K(522368K), 0.0005327 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.079: [GC [PSYoungGen: 171072K->256K(173056K)] 172677K->1861K(522624K), 0.0005035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.898: [GC [PSYoungGen: 171584K->0K(172992K)] 173189K->1669K(522560K), 0.0005279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.728: [GC [PSYoungGen: 171328K->32K(173184K)] 172997K->1701K(522752K), 0.0004485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.523: [GC [PSYoungGen: 171616K->32K(173120K)] 173285K->1701K(522688K), 0.0005679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.337: [GC [PSYoungGen: 171616K->64K(173376K)] 173285K->1733K(522944K), 0.0005326 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.358: [GC [PSYoungGen: 171968K->256K(173248K)] 173637K->1925K(522816K), 0.0005699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.773: [GC [PSYoungGen: 172160K->96K(173504K)] 173829K->1829K(523072K), 0.0004757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.179: [GC [PSYoungGen: 172320K->64K(173440K)] 174053K->1797K(523008K), 0.0005263 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.760: [GC [PSYoungGen: 172288K->64K(173632K)] 174021K->1797K(523200K), 0.0006501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.236: [GC [PSYoungGen: 172544K->32K(173568K)] 174277K->1765K(523136K), 0.0004401 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.705: [GC [PSYoungGen: 172512K->256K(173760K)] 174245K->1989K(523328K), 0.0006300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.488: [GC [PSYoungGen: 172992K->64K(173696K)] 174725K->1861K(523264K), 0.0004467 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
53.485: [GC [PSYoungGen: 172800K->96K(173888K)] 174597K->1893K(523456K), 0.0007258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.545: [GC [PSYoungGen: 173088K->64K(173824K)] 174885K->1861K(523392K), 0.0004585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.481: [GC [PSYoungGen: 173056K->32K(173952K)] 174853K->1829K(523520K), 0.0004239 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.314: [GC [PSYoungGen: 173152K->64K(173888K)] 174949K->1861K(523456K), 0.0004999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
57.433: [GC [PSYoungGen: 173184K->192K(174016K)] 174981K->1989K(523584K), 0.0005373 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
58.558: [GC [PSYoungGen: 173504K->32K(174016K)] 175301K->1829K(523584K), 0.0004351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
59.474: [GC [PSYoungGen: 173344K->64K(174080K)] 175141K->1861K(523648K), 0.0005949 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
60.367: [GC [PSYoungGen: 173504K->128K(174080K)] 175301K->1925K(523648K), 0.0004777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.441: [GC [PSYoungGen: 173568K->256K(174144K)] 175365K->2053K(523712K), 0.0005038 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
62.562: [GC [PSYoungGen: 173824K->160K(174144K)] 175621K->2021K(523712K), 0.0006204 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
63.702: [GC [PSYoungGen: 173728K->32K(174208K)] 175589K->1893K(523776K), 0.0004562 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
64.837: [GC [PSYoungGen: 173664K->96K(174144K)] 175525K->1957K(523712K), 0.0005091 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
66.014: [GC [PSYoungGen: 173728K->32K(174208K)] 175589K->1893K(523776K), 0.0004205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.224: [GC [PSYoungGen: 173728K->96K(174208K)] 175589K->1957K(523776K), 0.0004410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.448: [GC [PSYoungGen: 173792K->32K(174272K)] 175653K->1893K(523840K), 0.0005029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.048: [GC [PSYoungGen: 173856K->256K(174272K)] 175717K->2117K(523840K), 0.0005337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.021: [GC [PSYoungGen: 174080K->32K(174272K)] 175941K->1957K(523840K), 0.0005465 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
72.017: [GC [PSYoungGen: 173856K->128K(174272K)] 175781K->2053K(523840K), 0.0005121 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
72.986: [GC [PSYoungGen: 173952K->32K(174336K)] 175877K->1957K(523904K), 0.0004428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.973: [GC [PSYoungGen: 173920K->64K(174272K)] 175845K->1989K(523840K), 0.0004460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
74.926: [GC [PSYoungGen: 173952K->0K(174336K)] 175877K->1925K(523904K), 0.0004608 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.872: [GC [PSYoungGen: 173952K->32K(174336K)] 175877K->1957K(523904K), 0.0004734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.833: [GC [PSYoungGen: 173984K->32K(174400K)] 175909K->1957K(523968K), 0.0004486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.984: [GC [PSYoungGen: 174048K->256K(174336K)] 175973K->2181K(523904K), 0.0004964 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.550: [GC [PSYoungGen: 174272K->96K(174336K)] 176197K->2085K(523904K), 0.0005080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.107: [GC [PSYoungGen: 174048K->96K(174336K)] 176037K->2085K(523904K), 0.0005434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.632: [GC [PSYoungGen: 174048K->192K(174272K)] 176037K->2181K(523840K), 0.0006618 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.148: [GC [PSYoungGen: 174144K->64K(174336K)] 176133K->2053K(523904K), 0.0004126 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
80.801: [GC [PSYoungGen: 174016K->64K(174400K)] 176005K->2053K(523968K), 0.0005361 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
81.569: [GC [PSYoungGen: 174144K->128K(174400K)] 176133K->2117K(523968K), 0.0005389 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
83.005: [GC [PSYoungGen: 174208K->32K(174400K)] 176197K->2021K(523968K), 0.0005854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.635: [GC [PSYoungGen: 174112K->96K(174400K)] 176101K->2085K(523968K), 0.0005961 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.188: [GC [PSYoungGen: 174176K->32K(174400K)] 176165K->2021K(523968K), 0.0004987 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
84.705: [GC [PSYoungGen: 174112K->96K(174400K)] 176101K->2085K(523968K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.246: [GC [PSYoungGen: 174176K->32K(174464K)] 176165K->2021K(524032K), 0.0005059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.733: [GC [PSYoungGen: 174240K->32K(174464K)] 176229K->2021K(524032K), 0.0006520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.302: [GC [PSYoungGen: 174240K->32K(174464K)] 176229K->2021K(524032K), 0.0004225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.814: [GC [PSYoungGen: 174240K->64K(174464K)] 176229K->2053K(524032K), 0.0004741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.525: [GC [PSYoungGen: 174272K->64K(174464K)] 176261K->2053K(524032K), 0.0005160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.259: [GC [PSYoungGen: 174272K->256K(174464K)] 176261K->2245K(524032K), 0.0004533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.973: [GC [PSYoungGen: 174463K->32K(174464K)] 176453K->2085K(524032K), 0.0007479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.685: [GC [PSYoungGen: 174240K->32K(174464K)] 176293K->2085K(524032K), 0.0004311 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.391: [GC [PSYoungGen: 174240K->32K(174464K)] 176293K->2085K(524032K), 0.0005215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.094: [GC [PSYoungGen: 174240K->0K(174464K)] 176293K->2053K(524032K), 0.0004534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.985: [GC [PSYoungGen: 174208K->64K(174464K)] 176261K->2117K(524032K), 0.0004441 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
92.674: [GC [PSYoungGen: 174272K->32K(174464K)] 176325K->2085K(524032K), 0.0004686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.354: [GC [PSYoungGen: 174239K->32K(174464K)] 176293K->2085K(524032K), 0.0005220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.030: [GC [PSYoungGen: 174240K->64K(174464K)] 176293K->2117K(524032K), 0.0004477 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.699: [GC [PSYoungGen: 174272K->64K(174528K)] 176325K->2117K(524096K), 0.0004539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.382: [GC [PSYoungGen: 174400K->160K(174528K)] 176453K->2213K(524096K), 0.0005684 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.060: [GC [PSYoungGen: 174496K->32K(174528K)] 176549K->2085K(524096K), 0.0004739 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.774: [GC [PSYoungGen: 174368K->128K(174464K)] 176421K->2181K(524032K), 0.0004333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.086: [GC [PSYoungGen: 174462K->256K(174336K)] 176516K->2309K(523904K), 0.0004662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.694: [GC [PSYoungGen: 174336K->128K(174400K)] 176389K->2245K(523968K), 0.0006983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.257: [GC [PSYoungGen: 174208K->128K(174464K)] 176325K->2245K(524032K), 0.0005681 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
99.808: [GC [PSYoungGen: 174336K->32K(174464K)] 176453K->2149K(524032K), 0.0005237 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
100.358: [GC [PSYoungGen: 174240K->32K(174464K)] 176357K->2149K(524032K), 0.0004766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.916: [GC [PSYoungGen: 174240K->64K(174464K)] 176357K->2181K(524032K), 0.0004771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
101.486: [GC [PSYoungGen: 174272K->128K(174464K)] 176389K->2245K(524032K), 0.0005368 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
102.128: [GC [PSYoungGen: 174336K->96K(174464K)] 176453K->2213K(524032K), 0.0005248 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
