1.318: [GC [PSYoungGen: 131072K->1280K(152896K)] 131072K->1280K(502464K), 0.0019833 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.218: [GC [PSYoungGen: 132352K->1536K(152896K)] 132352K->1536K(502464K), 0.0010302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.168: [GC [PSYoungGen: 132608K->1568K(152896K)] 132608K->1568K(502464K), 0.0008141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.401: [GC [PSYoungGen: 132640K->1552K(152896K)] 132640K->1552K(502464K), 0.0010432 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
5.672: [GC [PSYoungGen: 132624K->1600K(152896K)] 132624K->1600K(502464K), 0.0010087 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
7.012: [GC [PSYoungGen: 132672K->1600K(172928K)] 132672K->1600K(522496K), 0.0011587 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
8.793: [GC [PSYoungGen: 172736K->224K(171392K)] 172736K->1517K(520960K), 0.0011789 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
10.868: [GC [PSYoungGen: 171360K->256K(172416K)] 172653K->1549K(521984K), 0.0006609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.366: [GC [PSYoungGen: 170624K->256K(170624K)] 171917K->1597K(520192K), 0.0003904 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.883: [GC [PSYoungGen: 170624K->0K(172352K)] 171965K->1437K(521920K), 0.0004248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
18.360: [GC [PSYoungGen: 170112K->32K(170176K)] 171549K->1469K(519744K), 0.0003642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.857: [GC [PSYoungGen: 170144K->256K(172416K)] 171581K->1693K(521984K), 0.0005802 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.940: [GC [PSYoungGen: 170304K->96K(172352K)] 171741K->1613K(521920K), 0.0005498 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.008: [GC [PSYoungGen: 170144K->32K(172416K)] 171661K->1549K(521984K), 0.0005635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.107: [GC [PSYoungGen: 170144K->64K(172416K)] 171661K->1581K(521984K), 0.0005243 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
28.726: [GC [PSYoungGen: 170176K->224K(172608K)] 171693K->1741K(522176K), 0.0004922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.042: [GC [PSYoungGen: 170592K->64K(172480K)] 172109K->1677K(522048K), 0.0005496 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
31.368: [GC [PSYoungGen: 170432K->96K(172736K)] 172045K->1709K(522304K), 0.0005432 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.692: [GC [PSYoungGen: 170784K->64K(172672K)] 172397K->1677K(522240K), 0.0004399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.994: [GC [PSYoungGen: 170752K->64K(172864K)] 172365K->1677K(522432K), 0.0004362 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.283: [GC [PSYoungGen: 171008K->64K(172800K)] 172621K->1677K(522368K), 0.0004454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.863: [GC [PSYoungGen: 171008K->256K(173056K)] 172621K->1869K(522624K), 0.0004690 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
38.677: [GC [PSYoungGen: 171520K->32K(172928K)] 173133K->1709K(522496K), 0.0005350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.500: [GC [PSYoungGen: 171296K->32K(173184K)] 172973K->1709K(522752K), 0.0005729 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
42.331: [GC [PSYoungGen: 171616K->32K(173120K)] 173293K->1709K(522688K), 0.0004101 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
44.131: [GC [PSYoungGen: 171616K->96K(173376K)] 173293K->1773K(522944K), 0.0004657 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
46.204: [GC [PSYoungGen: 172064K->160K(173312K)] 173741K->1837K(522880K), 0.0005114 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.756: [GC [PSYoungGen: 172128K->32K(173504K)] 173805K->1773K(523072K), 0.0005174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.292: [GC [PSYoungGen: 172256K->160K(173440K)] 173997K->1901K(523008K), 0.0004787 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.855: [GC [PSYoungGen: 172384K->32K(173632K)] 174125K->1773K(523200K), 0.0004766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
52.416: [GC [PSYoungGen: 172576K->32K(173632K)] 174317K->1773K(523200K), 0.0004853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
53.976: [GC [PSYoungGen: 172576K->256K(173760K)] 174317K->1997K(523328K), 0.0005569 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
54.857: [GC [PSYoungGen: 172992K->64K(173696K)] 174733K->1861K(523264K), 0.0004800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
55.727: [GC [PSYoungGen: 172800K->32K(173888K)] 174597K->1829K(523456K), 0.0004548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
56.603: [GC [PSYoungGen: 173024K->160K(173824K)] 174821K->1957K(523392K), 0.0004865 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
57.470: [GC [PSYoungGen: 173152K->32K(173952K)] 174949K->1829K(523520K), 0.0004895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
58.337: [GC [PSYoungGen: 173216K->64K(173952K)] 175013K->1861K(523520K), 0.0004694 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
59.196: [GC [PSYoungGen: 173248K->64K(174080K)] 175045K->1861K(523648K), 0.0005306 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
60.075: [GC [PSYoungGen: 173440K->96K(174016K)] 175237K->1893K(523584K), 0.0004072 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
60.951: [GC [PSYoungGen: 173472K->32K(174144K)] 175269K->1829K(523712K), 0.0004941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
61.815: [GC [PSYoungGen: 173535K->32K(174080K)] 175332K->1829K(523648K), 0.0005602 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
62.953: [GC [PSYoungGen: 173536K->256K(174144K)] 175333K->2053K(523712K), 0.0006318 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
64.149: [GC [PSYoungGen: 173824K->96K(174144K)] 175621K->1957K(523712K), 0.0005102 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
65.340: [GC [PSYoungGen: 173664K->64K(174208K)] 175525K->1925K(523776K), 0.0005357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.515: [GC [PSYoungGen: 173760K->96K(174208K)] 175621K->1957K(523776K), 0.0006590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.718: [GC [PSYoungGen: 173792K->32K(174272K)] 175653K->1893K(523840K), 0.0004746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.907: [GC [PSYoungGen: 173856K->96K(174272K)] 175717K->1957K(523840K), 0.0005036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
70.111: [GC [PSYoungGen: 173920K->96K(174336K)] 175781K->1957K(523904K), 0.0004963 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.740: [GC [PSYoungGen: 173984K->256K(174272K)] 175845K->2117K(523840K), 0.0005945 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
72.738: [GC [PSYoungGen: 174144K->32K(174272K)] 176005K->1957K(523840K), 0.0004486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.728: [GC [PSYoungGen: 173856K->32K(174272K)] 175781K->1957K(523840K), 0.0004834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
74.734: [GC [PSYoungGen: 173856K->64K(174336K)] 175781K->1989K(523904K), 0.0004901 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
75.724: [GC [PSYoungGen: 174016K->64K(174336K)] 175941K->1989K(523904K), 0.0004528 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.721: [GC [PSYoungGen: 174016K->0K(174336K)] 175941K->1925K(523904K), 0.0005092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.721: [GC [PSYoungGen: 173952K->64K(174336K)] 175877K->1989K(523904K), 0.0004754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.731: [GC [PSYoungGen: 174016K->96K(174400K)] 175941K->2021K(523968K), 0.0004832 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
79.910: [GC [PSYoungGen: 174176K->256K(174336K)] 176101K->2181K(523904K), 0.0006708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.455: [GC [PSYoungGen: 174336K->32K(174400K)] 176261K->2013K(523968K), 0.0005817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.988: [GC [PSYoungGen: 174048K->32K(174336K)] 176029K->2013K(523904K), 0.0004212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.511: [GC [PSYoungGen: 174048K->128K(174400K)] 176029K->2109K(523968K), 0.0004184 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.052: [GC [PSYoungGen: 174208K->64K(174400K)] 176189K->2045K(523968K), 0.0004574 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.584: [GC [PSYoungGen: 174144K->64K(174400K)] 176125K->2045K(523968K), 0.0005163 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
83.113: [GC [PSYoungGen: 174144K->64K(174400K)] 176125K->2045K(523968K), 0.0004427 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.647: [GC [PSYoungGen: 174144K->32K(174464K)] 176125K->2013K(524032K), 0.0004633 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.176: [GC [PSYoungGen: 174240K->96K(174464K)] 176221K->2077K(524032K), 0.0004978 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.709: [GC [PSYoungGen: 174304K->64K(174464K)] 176285K->2045K(524032K), 0.0004817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.235: [GC [PSYoungGen: 174272K->32K(174464K)] 176253K->2013K(524032K), 0.0005234 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
85.763: [GC [PSYoungGen: 174240K->32K(174464K)] 176221K->2013K(524032K), 0.0006270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
