0.244: [GC [PSYoungGen: 131072K->1488K(152896K)] 131072K->1488K(502464K), 0.0022012 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.146: [GC [PSYoungGen: 132560K->1584K(152896K)] 132560K->1584K(502464K), 0.0010811 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.103: [GC [PSYoungGen: 132656K->1568K(152896K)] 132656K->1568K(502464K), 0.0008461 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.347: [GC [PSYoungGen: 132640K->1520K(152896K)] 132640K->1520K(502464K), 0.0009070 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.596: [GC [PSYoungGen: 132592K->1552K(152896K)] 132592K->1552K(502464K), 0.0007730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.930: [GC [PSYoungGen: 132624K->1488K(173056K)] 132624K->1488K(522624K), 0.0010021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.709: [GC [PSYoungGen: 172880K->192K(171584K)] 172880K->1473K(521152K), 0.0013043 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.781: [GC [PSYoungGen: 171584K->256K(172544K)] 172865K->1537K(522112K), 0.0006293 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.364: [GC [PSYoungGen: 170880K->256K(170880K)] 172161K->1577K(520448K), 0.0005033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.942: [GC [PSYoungGen: 170880K->32K(172416K)] 172201K->1457K(521984K), 0.0005519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.873: [GC [PSYoungGen: 170272K->256K(172480K)] 171697K->1681K(522048K), 0.0004859 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.950: [GC [PSYoungGen: 170496K->32K(172480K)] 171921K->1545K(522048K), 0.0006919 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
22.003: [GC [PSYoungGen: 170272K->64K(172480K)] 171785K->1577K(522048K), 0.0004203 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.062: [GC [PSYoungGen: 170304K->64K(172480K)] 171817K->1577K(522048K), 0.0004648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.349: [GC [PSYoungGen: 170304K->256K(172480K)] 171817K->1769K(522048K), 0.0007081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.661: [GC [PSYoungGen: 170496K->224K(172672K)] 172009K->1809K(522240K), 0.0006140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.993: [GC [PSYoungGen: 170720K->96K(172544K)] 172305K->1729K(522112K), 0.0004512 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.311: [GC [PSYoungGen: 170592K->32K(172736K)] 172225K->1665K(522304K), 0.0004652 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.653: [GC [PSYoungGen: 170720K->32K(172672K)] 172353K->1665K(522240K), 0.0005195 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
