Method:    Memcached-Set 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 76934.9 	MB/sec: 4.616
Method:    Memcached-Get 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 107712.2 	MB/sec: 6.463
Method: Memcached-SetAndGet 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 101153.1 	MB/sec: 6.069
Method:    Memcached-Set 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 86311.1 	MB/sec: 10.530
Method:    Memcached-Get 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 111037.1 	MB/sec: 13.547
Method: Memcached-SetAndGet 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 105108.3 	MB/sec: 12.823
Method:    Memcached-Set 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 85969.7 	MB/sec: 20.977
Method:    Memcached-Get 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 111982.1 	MB/sec: 27.324
Method: Memcached-SetAndGet 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 100867.5 	MB/sec: 24.612
Method:    Memcached-Set 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 84359.7 	MB/sec: 41.168
Method:    Memcached-Get 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 107735.4 	MB/sec: 52.575
Method: Memcached-SetAndGet 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 103135.3 	MB/sec: 50.330
Method:    Memcached-Set 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 74626.9 	MB/sec: 72.836
Method:    Memcached-Get 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 96880.5 	MB/sec: 94.555
Method: Memcached-SetAndGet 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 87780.9 	MB/sec: 85.674
Method:    Memcached-Set 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 94393.1 	MB/sec: 5.664
Method:    Memcached-Get 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 119161.1 	MB/sec: 7.150
Method: Memcached-SetAndGet 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 107112.3 	MB/sec: 6.427
Method:    Memcached-Set 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 94643.2 	MB/sec: 11.546
Method:    Memcached-Get 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 112994.3 	MB/sec: 13.785
Method: Memcached-SetAndGet 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 109673.2 	MB/sec: 13.380
Method:    Memcached-Set 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 90481.4 	MB/sec: 22.077
Method:    Memcached-Get 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 114521.3 	MB/sec: 27.943
Method: Memcached-SetAndGet 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 109457.1 	MB/sec: 26.708
Method:    Memcached-Set 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 82169.3 	MB/sec: 40.099
Method:    Memcached-Get 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 107526.9 	MB/sec: 52.473
Method: Memcached-SetAndGet 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 103050.3 	MB/sec: 50.289
Method:    Memcached-Set 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 75120.2 	MB/sec: 73.317
Method:    Memcached-Get 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 97087.4 	MB/sec: 94.757
Method: Memcached-SetAndGet 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 94410.9 	MB/sec: 92.145
Method:    Memcached-Set 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 90793.5 	MB/sec: 5.448
Method:    Memcached-Get 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 114259.6 	MB/sec: 6.856
Method: Memcached-SetAndGet 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 107758.6 	MB/sec: 6.466
Method:    Memcached-Set 	Threads: 150 	DataSize: 128 	RequsetCount: 500000  	TPS: 87673.2 	MB/sec: 10.696
Method:    Memcached-Get 	Threads: 150 	DataSize: 128 	RequsetCount: 500000  	TPS: 118175.4 	MB/sec: 14.417
Method: Memcached-SetAndGet 	Threads: 150 	DataSize: 128 	RequsetCount: 500000  	TPS: 101235.1 	MB/sec: 12.351
Method:    Memcached-Set 	Threads: 150 	DataSize: 256 	RequsetCount: 500000  	TPS: 86445.4 	MB/sec: 21.093
Method:    Memcached-Get 	Threads: 150 	DataSize: 256 	RequsetCount: 500000  	TPS: 109433.1 	MB/sec: 26.702
Method: Memcached-SetAndGet 	Threads: 150 	DataSize: 256 	RequsetCount: 500000  	TPS: 98251.1 	MB/sec: 23.973
Method:    Memcached-Set 	Threads: 150 	DataSize: 512 	RequsetCount: 500000  	TPS: 79744.8 	MB/sec: 38.915
Method:    Memcached-Get 	Threads: 150 	DataSize: 512 	RequsetCount: 500000  	TPS: 101132.7 	MB/sec: 49.353
Method: Memcached-SetAndGet 	Threads: 150 	DataSize: 512 	RequsetCount: 500000  	TPS: 96861.7 	MB/sec: 47.268
Method:    Memcached-Set 	Threads: 150 	DataSize: 1024 	RequsetCount: 500000  	TPS: 73735.4 	MB/sec: 71.966
Method:    Memcached-Get 	Threads: 150 	DataSize: 1024 	RequsetCount: 500000  	TPS: 100361.3 	MB/sec: 97.953
Method: Memcached-SetAndGet 	Threads: 150 	DataSize: 1024 	RequsetCount: 500000  	TPS: 92148.9 	MB/sec: 89.937
Method:    Memcached-Set 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 88090.2 	MB/sec: 5.285
Method:    Memcached-Get 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 113275.9 	MB/sec: 6.797
Method: Memcached-SetAndGet 	Threads: 200 	DataSize: 64 	RequsetCount: 500000  	TPS: 100240.6 	MB/sec: 6.014
Method:    Memcached-Set 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 86775.4 	MB/sec: 10.587
Method:    Memcached-Get 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 112410.1 	MB/sec: 13.714
Method: Memcached-SetAndGet 	Threads: 200 	DataSize: 128 	RequsetCount: 500000  	TPS: 98174.0 	MB/sec: 11.977
Method:    Memcached-Set 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 82973.8 	MB/sec: 20.246
Method:    Memcached-Get 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 107550.0 	MB/sec: 26.242
Method: Memcached-SetAndGet 	Threads: 200 	DataSize: 256 	RequsetCount: 500000  	TPS: 100969.3 	MB/sec: 24.637
Method:    Memcached-Set 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 78235.0 	MB/sec: 38.179
Method:    Memcached-Get 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 103541.1 	MB/sec: 50.528
Method: Memcached-SetAndGet 	Threads: 200 	DataSize: 512 	RequsetCount: 500000  	TPS: 94108.8 	MB/sec: 45.925
Method:    Memcached-Set 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 73217.2 	MB/sec: 71.460
Method:    Memcached-Get 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 94339.6 	MB/sec: 92.075
Method: Memcached-SetAndGet 	Threads: 200 	DataSize: 1024 	RequsetCount: 500000  	TPS: 90041.4 	MB/sec: 87.880
