Method: Mongodb-InsertDoc 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 16937.7 	MB/sec: 1.016
Method:  Mongodb-FindDoc 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 25120.6 	MB/sec: 1.507
Method: Mongodb-InsertAndFind 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 5534.4 	MB/sec: 0.332
Method: Mongodb-InsertDoc 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 20602.4 	MB/sec: 2.513
Method:  Mongodb-FindDoc 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 24523.0 	MB/sec: 2.992
Method: Mongodb-InsertAndFind 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 5687.7 	MB/sec: 0.694
Method: Mongodb-InsertDoc 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 16803.9 	MB/sec: 4.100
Method:  Mongodb-FindDoc 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 24807.7 	MB/sec: 6.053
Method: Mongodb-InsertAndFind 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 5408.9 	MB/sec: 1.320
Method: Mongodb-InsertDoc 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 18181.8 	MB/sec: 8.873
Method:  Mongodb-FindDoc 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 23275.3 	MB/sec: 11.358
Method: Mongodb-InsertAndFind 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 5311.3 	MB/sec: 2.592
Method: Mongodb-InsertDoc 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 10346.4 	MB/sec: 10.098
Method:  Mongodb-FindDoc 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 24155.8 	MB/sec: 23.576
Method: Mongodb-InsertAndFind 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 5160.4 	MB/sec: 5.037
Method: Mongodb-InsertDoc 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 19637.9 	MB/sec: 1.178
Method:  Mongodb-FindDoc 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 24651.2 	MB/sec: 1.479
Method: Mongodb-InsertAndFind 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 3253.6 	MB/sec: 0.195
Method: Mongodb-InsertDoc 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 19353.6 	MB/sec: 2.361
Method:  Mongodb-FindDoc 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 24408.1 	MB/sec: 2.978
Method: Mongodb-InsertAndFind 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 3387.5 	MB/sec: 0.413
Method: Mongodb-InsertDoc 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 17936.6 	MB/sec: 4.377
Method:  Mongodb-FindDoc 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 24653.6 	MB/sec: 6.015
Method: Mongodb-InsertAndFind 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 3278.1 	MB/sec: 0.800
Method: Mongodb-InsertDoc 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 17857.1 	MB/sec: 8.714
Method:  Mongodb-FindDoc 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 24385.5 	MB/sec: 11.900
Method: Mongodb-InsertAndFind 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 3151.8 	MB/sec: 1.538
Method: Mongodb-InsertDoc 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 16868.0 	MB/sec: 16.463
Method:  Mongodb-FindDoc 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 23806.1 	MB/sec: 23.235
Method: Mongodb-InsertAndFind 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 3241.5 	MB/sec: 3.164
Method: Mongodb-InsertDoc 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 18078.0 	MB/sec: 1.085
Method:  Mongodb-FindDoc 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 24420.0 	MB/sec: 1.465
