Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 6244.5 	MB/sec: 0.375
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 20064.2 	MB/sec: 1.204
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 12561.9 	MB/sec: 0.754
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 6468.1 	MB/sec: 0.789
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 10095.3 	MB/sec: 1.232
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 13685.9 	MB/sec: 1.670
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 6608.9 	MB/sec: 1.613
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 12514.4 	MB/sec: 3.054
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 12719.1 	MB/sec: 3.103
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 6634.2 	MB/sec: 3.237
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 16850.3 	MB/sec: 8.223
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 12021.8 	MB/sec: 5.867
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 5088.7 	MB/sec: 4.967
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 28314.2 	MB/sec: 27.635
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 8858.2 	MB/sec: 8.646
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 3349.0 	MB/sec: 0.201
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 12989.7 	MB/sec: 0.779
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 7006.9 	MB/sec: 0.420
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 3530.8 	MB/sec: 0.431
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 6218.5 	MB/sec: 0.759
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 7787.6 	MB/sec: 0.950
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 4067.4 	MB/sec: 0.992
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 10889.0 	MB/sec: 2.657
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 8230.2 	MB/sec: 2.008
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 4513.1 	MB/sec: 2.202
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 5902.0 	MB/sec: 2.880
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 8767.5 	MB/sec: 4.279
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 4679.7 	MB/sec: 4.567
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 6435.7 	MB/sec: 6.281
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 7941.9 	MB/sec: 7.751
Method: MySQL-InsertKeyValue 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 2630.5 	MB/sec: 0.158
Method: MySQL-SelectValueByKey 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 4687.9 	MB/sec: 0.281
Method: MySQL-InsertAndSelect 	Threads: 150 	DataSize: 64 	RequsetCount: 500000  	TPS: 5086.5 	MB/sec: 0.305
Method: MySQL-InsertKeyValue 	Threads: 150 	DataSize: 128 	RequsetCount: 500000  	TPS: 2969.7 	MB/sec: 0.362
Method: MySQL-SelectValueByKey 	Threads: 150 	DataSize: 128 	RequsetCount: 500000  	TPS: 29925.8 	MB/sec: 3.651
Method: MySQL-InsertAndSelect 	Threads: 150 	DataSize: 128 	RequsetCount: 500000  	TPS: 5542.0 	MB/sec: 0.676
Method: MySQL-InsertKeyValue 	Threads: 150 	DataSize: 256 	RequsetCount: 500000  	TPS: 3471.9 	MB/sec: 0.847
Method: MySQL-SelectValueByKey 	Threads: 150 	DataSize: 256 	RequsetCount: 500000  	TPS: 7552.8 	MB/sec: 1.843
Method: MySQL-InsertAndSelect 	Threads: 150 	DataSize: 256 	RequsetCount: 500000  	TPS: 6340.6 	MB/sec: 1.547
Method: MySQL-InsertKeyValue 	Threads: 150 	DataSize: 512 	RequsetCount: 500000  	TPS: 3744.4 	MB/sec: 1.827
Method: MySQL-SelectValueByKey 	Threads: 150 	DataSize: 512 	RequsetCount: 500000  	TPS: 20620.3 	MB/sec: 10.063
Method: MySQL-InsertAndSelect 	Threads: 150 	DataSize: 512 	RequsetCount: 500000  	TPS: 7382.5 	MB/sec: 3.603
Method: MySQL-InsertKeyValue 	Threads: 150 	DataSize: 1024 	RequsetCount: 500000  	TPS: 3971.9 	MB/sec: 3.877
Method: MySQL-SelectValueByKey 	Threads: 150 	DataSize: 1024 	RequsetCount: 500000  	TPS: 3977.9 	MB/sec: 3.882
Method: MySQL-InsertAndSelect 	Threads: 150 	DataSize: 1024 	RequsetCount: 500000  	TPS: 7464.4 	MB/sec: 7.285
