Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 20404.8 	MB/sec: 1.224
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 15284.0 	MB/sec: 0.917
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 26358.8 	MB/sec: 1.582
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 20364.9 	MB/sec: 2.485
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 14917.8 	MB/sec: 1.820
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 25185.1 	MB/sec: 3.073
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 20176.7 	MB/sec: 4.923
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 14896.9 	MB/sec: 3.635
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 25092.8 	MB/sec: 6.123
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 19891.8 	MB/sec: 9.707
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 14881.8 	MB/sec: 7.262
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 24921.5 	MB/sec: 12.162
Method: MySQL-InsertKeyValue 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 18976.1 	MB/sec: 18.521
Method: MySQL-SelectValueByKey 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 14908.5 	MB/sec: 14.551
Method: MySQL-InsertAndSelect 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 24140.6 	MB/sec: 23.561
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 19303.5 	MB/sec: 1.158
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 14720.2 	MB/sec: 0.883
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 24325.0 	MB/sec: 1.459
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 18984.0 	MB/sec: 2.316
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 14754.5 	MB/sec: 1.800
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 24174.4 	MB/sec: 2.949
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 18574.9 	MB/sec: 4.532
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 14512.9 	MB/sec: 3.541
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 23644.0 	MB/sec: 5.769
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 18133.0 	MB/sec: 8.849
Method: MySQL-SelectValueByKey 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 14593.0 	MB/sec: 7.121
Method: MySQL-InsertAndSelect 	Threads: 100 	DataSize: 512 	RequsetCount: 500000  	TPS: 23384.2 	MB/sec: 11.411
Method: MySQL-InsertKeyValue 	Threads: 100 	DataSize: 1024 	RequsetCount: 500000  	TPS: 17442.3 	MB/sec: 17.024
