Method:        Redis-Set 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 63922.3 	MB/sec: 3.835
Method:        Redis-Get 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 57550.6 	MB/sec: 3.453
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 64176.6 	MB/sec: 3.851
Method:        Redis-Set 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 61743.6 	MB/sec: 7.533
Method:        Redis-Get 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 57930.7 	MB/sec: 7.068
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 60953.3 	MB/sec: 7.436
Method:        Redis-Set 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 56085.3 	MB/sec: 13.685
Method:        Redis-Get 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 58775.1 	MB/sec: 14.341
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 61881.2 	MB/sec: 15.099
Method:        Redis-Set 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 48435.5 	MB/sec: 23.637
Method:        Redis-Get 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 57803.5 	MB/sec: 28.208
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 62908.9 	MB/sec: 30.700
Method:        Redis-Set 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 33912.1 	MB/sec: 33.098
Method:        Redis-Get 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 59213.6 	MB/sec: 57.793
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 44018.0 	MB/sec: 42.962
Method:        Redis-Set 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 62173.6 	MB/sec: 3.730
Method:        Redis-Get 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 56805.3 	MB/sec: 3.408
Method:  Redis-SetAndGet 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 59887.4 	MB/sec: 3.593
