Method:        Redis-Set 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 59765.7 	MB/sec: 3.586
Method:        Redis-Get 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 57557.3 	MB/sec: 3.453
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 59220.7 	MB/sec: 3.553
Method:        Redis-Set 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 60466.8 	MB/sec: 7.377
Method:        Redis-Get 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 57676.8 	MB/sec: 7.037
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 59073.7 	MB/sec: 7.207
Method:        Redis-Set 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 60291.8 	MB/sec: 14.711
Method:        Redis-Get 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 57736.7 	MB/sec: 14.088
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 59873.1 	MB/sec: 14.609
Method:        Redis-Set 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 58892.8 	MB/sec: 28.740
Method:        Redis-Get 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 57517.5 	MB/sec: 28.069
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 59687.2 	MB/sec: 29.127
Method:        Redis-Set 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 58548.0 	MB/sec: 57.143
Method:        Redis-Get 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 58527.4 	MB/sec: 57.123
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 62515.6 	MB/sec: 61.015
Method:        Redis-Set 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 58302.2 	MB/sec: 3.498
Method:        Redis-Get 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 57464.7 	MB/sec: 3.448
Method:  Redis-SetAndGet 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 57214.8 	MB/sec: 3.433
Method:        Redis-Set 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 58302.2 	MB/sec: 7.113
Method:        Redis-Get 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 57857.0 	MB/sec: 7.059
Method:  Redis-SetAndGet 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 56580.3 	MB/sec: 6.903
Method:        Redis-Set 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 58657.9 	MB/sec: 14.313
Method:        Redis-Get 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 57012.5 	MB/sec: 13.911
Method:  Redis-SetAndGet 	Threads: 100 	DataSize: 256 	RequsetCount: 500000  	TPS: 57663.5 	MB/sec: 14.070
