Method:        Redis-Set 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 59772.9 	MB/sec: 3.586
Method:        Redis-Get 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 57563.9 	MB/sec: 3.454
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 64 	RequsetCount: 500000  	TPS: 59930.5 	MB/sec: 3.596
Method:        Redis-Set 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 59787.2 	MB/sec: 7.294
Method:        Redis-Get 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 57964.3 	MB/sec: 7.072
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 128 	RequsetCount: 500000  	TPS: 59651.6 	MB/sec: 7.277
Method:        Redis-Set 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 59545.1 	MB/sec: 14.529
Method:        Redis-Get 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 57944.1 	MB/sec: 14.138
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 256 	RequsetCount: 500000  	TPS: 60052.8 	MB/sec: 14.653
Method:        Redis-Set 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 59587.7 	MB/sec: 29.079
Method:        Redis-Get 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 57950.9 	MB/sec: 28.280
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 512 	RequsetCount: 500000  	TPS: 59375.4 	MB/sec: 28.975
Method:        Redis-Set 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 58105.8 	MB/sec: 56.711
Method:        Redis-Get 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 57756.7 	MB/sec: 56.371
Method:  Redis-SetAndGet 	Threads: 50 	DataSize: 1024 	RequsetCount: 500000  	TPS: 62735.3 	MB/sec: 61.230
Method:        Redis-Set 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 58295.4 	MB/sec: 3.498
Method:        Redis-Get 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 57870.4 	MB/sec: 3.472
Method:  Redis-SetAndGet 	Threads: 100 	DataSize: 64 	RequsetCount: 500000  	TPS: 57464.7 	MB/sec: 3.448
Method:        Redis-Set 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 59199.6 	MB/sec: 7.222
Method:        Redis-Get 	Threads: 100 	DataSize: 128 	RequsetCount: 500000  	TPS: 58302.2 	MB/sec: 7.113
